Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted
Software Engineer,"Merancang, mengembangkan, dan memelihara sistem perangkat lunak yang skalabel dengan praktik rekayasa perangkat lunak menggunakan seperti Java, Python.","Java, Python","£40,000 - £60,000",London,ABC Tech,Entry-Level,Technology,Full-Time,2023-01-05
Data Analyst,"Menganalisis dan menginterpretasikan data terstruktur untuk menghasilkan insight dan laporan seperti menggunakan SQL, Excel.","SQL, Excel","£35,000 - £50,000",Manchester,XYZ Analytics,Junior,Analytics,Full-Time,2023-02-10
Network Engineer,"Merancang, mengonfigurasi, memonitor, dan memelihara jaringan LAN, WAN, dan internet untuk mendukung operasional organisasi seperti menggunakan Cisco, WAN.","Cisco, WAN","£45,000 - £70,000",Birmingham,Network Solutions,Mid-Level,Networking,Full-Time,2023-03-15
Cloud Architect,"Merancang arsitektur berbasis cloud yang skalabel dan aman seperti menggunakan AWS, Azure.","AWS, Azure","£60,000 - £90,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,2023-04-20
Cybersecurity Analyst,Memonitor sistem dan jaringan untuk mendeteksi serta mencegah ancaman keamanan seperti menggunakan Cybersecurity.,Cybersecurity,"£50,000 - £80,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,2023-05-25
IT Project Manager,"Merencanakan dan mengelola proyek IT agar selesai tepat waktu dan sesuai target seperti menggunakan PMP, Agile.","PMP, Agile","£70,000 - £100,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,2023-06-30
Data Scientist,"Mengekstraksi insight dari data skala besar menggunakan statistik, machine learning, dan teknik AI dengan seperti R, Python.","R, Python","£55,000 - £85,000",Bristol,Data Insights,Mid-Level,Data Science,Full-Time,2023-07-05
DevOps Engineer,"Mengotomatiskan dan mengoptimalkan pipeline CI/CD serta infrastruktur seperti menggunakan Docker, Jenkins.","Docker, Jenkins","£50,000 - £75,000",Newcastle,DevOps Solutions,Mid-Level,DevOps,Full-Time,2023-08-10
IT Support Analyst,"Menganalisis dan menyelesaikan permasalahan IT yang kompleks, meningkatkan keandalan sistem, serta mendukung pengguna akhir seperti menggunakan Windows, Linux.","Windows, Linux","£30,000 - £45,000",Sheffield,IT Services,Entry-Level,Support,Full-Time,2023-09-15
UX/UI Designer,Merancang pengalaman pengguna dan antarmuka pengguna untuk produk digital seperti menggunakan UI/UX Design.,UI/UX Design,"£40,000 - £70,000",Cardiff,Design Studios,Junior,Design,Full-Time,2023-10-20
Database Analyst,"Menganalisis struktur database dan mengoptimalkan penggunaan data seperti menggunakan SQL, Oracle, Database Management.","SQL, Oracle, Database Management","£40,000 - £65,000",London,Data Solutions,Mid-Level,Database,Full-Time,2023-11-25
UI Developer,"Mengimplementasikan desain UI/UX menjadi antarmuka yang fungsional dan menarik seperti menggunakan HTML, CSS, JavaScript.","HTML, CSS, JavaScript","£35,000 - £55,000",Manchester,Web Creations,Junior,Web Development,Full-Time,2023-12-10
System Administrator,"Menginstal, mengonfigurasi, dan memelihara server serta sistem operasi untuk memastikan ketersediaan sistem  seperti menggunakan Windows Server, Active Directory.","Windows Server, Active Directory","£45,000 - £70,000",Birmingham,System Services,Mid-Level,IT Services,Full-Time,2023-01-15
AI/ML Engineer,"Merancang dan menerapkan model kecerdasan buatan dan machine learning ke lingkungan produksi seperti menggunakan Python, TensorFlow, AI/ML.","Python, TensorFlow, AI/ML","£55,000 - £85,000",Edinburgh,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,2023-02-20
IT Auditor,"Melakukan audit sistem dan proses IT untuk memastikan kontrol dan kepatuhan seperti menggunakan Audit, Risk Management.","Audit, Risk Management","£50,000 - £80,000",Glasgow,Audit Experts,Mid-Level,Audit,Full-Time,2023-03-25
Network Security Engineer,"Mengamankan infrastruktur jaringan dari ancaman siber seperti menggunakan Firewall, VPN, Security.","Firewall, VPN, Security","£55,000 - £90,000",Leeds,SecureNet,Mid-Level,Security,Full-Time,2023-04-30
Software Tester,"Menguji aplikasi perangkat lunak untuk menemukan bug dan memastikan fungsionalitas sistem seperti menggunakan Manual Testing, Bug Tracking.","Manual Testing, Bug Tracking","£30,000 - £50,000",Bristol,QA Solutions,Entry-Level,Quality Assurance,Full-Time,2023-05-05
Cloud Solutions Architect,"Mengembangkan solusi cloud yang selaras dengan kebutuhan bisnis seperti menggunakan AWS, Azure, Architecture.","AWS, Azure, Architecture","£65,000 - £100,000",Newcastle,Cloud Architects,Senior,Cloud Computing,Full-Time,2023-06-10
IT Consultant,"Memberikan rekomendasi dan solusi strategis IT bagi organisasi seperti menggunakan Consulting, IT Strategy.","Consulting, IT Strategy","£60,000 - £90,000",Sheffield,IT Consultants,Senior,Consulting,Full-Time,2023-07-15
Front-end Developer,"Membangun antarmuka pengguna yang responsif dan interaktif dengan fokus pada pengalaman pengguna  seperti menggunakan JavaScript, React.","JavaScript, React","£40,000 - £75,000",Cardiff,Web Studios,Mid-Level,Web Development,Full-Time,2023-08-20
Business Analyst,"Menganalisis proses bisnis dan merekomendasikan perbaikan seperti menggunakan Business Analysis, Requirements.","Business Analysis, Requirements","£45,000 - £80,000",London,Biz Analysts,Mid-Level,Business Analysis,Full-Time,2023-09-25
IT Helpdesk Support,"Menjadi titik kontak pertama untuk permasalahan IT dan menyelesaikan kendala teknis dasar seperti menggunakan Troubleshooting, Customer Service.","Troubleshooting, Customer Service","£25,000 - £40,000",Manchester,IT Helpdesk,Entry-Level,Support,Full-Time,2023-10-30
DevSecOps Engineer,"Mengintegrasikan praktik keamanan ke dalam pipeline DevOps seperti menggunakan DevSecOps, CI/CD.","DevSecOps, CI/CD","£60,000 - £95,000",Birmingham,Secure DevOps,Mid-Level,DevOps,Full-Time,2023-11-05
Data Engineer,"Membangun dan memelihara pipeline serta infrastruktur data untuk mendukung analitik seperti menggunakan ETL, Big Data, SQL.","ETL, Big Data, SQL","£50,000 - £85,000",Edinburgh,Data Engineers,Mid-Level,Data Engineering,Full-Time,2023-12-10
IT Trainer,"Menyelenggarakan pelatihan untuk meningkatkan keterampilan teknis seperti menggunakan Training, IT Education.","Training, IT Education","£35,000 - £60,000",Glasgow,IT Training,Junior,Education,Full-Time,2023-01-15
Cloud Security Engineer,"Mengimplementasikan kontrol dan kebijakan keamanan pada infrastruktur cloud seperti menggunakan Cloud Security, Encryption.","Cloud Security, Encryption","£65,000 - £100,000",Leeds,SecureCloud,Mid-Level,Security,Full-Time,2023-02-20
IT Procurement Specialist,"Menangani proses pengadaan barang dan jasa IT secara efisien seperti menggunakan Procurement, Vendor Management.","Procurement, Vendor Management","£50,000 - £80,000",Bristol,ProcureIT,Mid-Level,Procurement,Full-Time,2023-03-25
UX Researcher,"Melakukan riset pengguna untuk memahami perilaku dan meningkatkan kegunaan produk seperti menggunakan User Research, UX Design.","User Research, UX Design","£45,000 - £75,000",Newcastle,UX Labs,Mid-Level,Design,Full-Time,2023-04-30
Blockchain Developer,"Mengembangkan aplikasi terdesentralisasi dan smart contract pada platform blockchain seperti menggunakan Blockchain, Solidity.","Blockchain, Solidity","£55,000 - £90,000",Sheffield,Blockchain Tech,Mid-Level,Blockchain,Full-Time,2023-05-05
IT Risk Analyst,"Mengidentifikasi dan mengelola risiko IT terhadap operasional bisnis seperti menggunakan Risk Assessment, Compliance.","Risk Assessment, Compliance","£50,000 - £80,000",Cardiff,Risk Analysts,Mid-Level,Risk Management,Full-Time,2023-06-10
Cloud Support Engineer,"Memberikan dukungan teknis dan operasional untuk lingkungan cloud seperti menggunakan AWS, Azure, Cloud Services.","AWS, Azure, Cloud Services","£40,000 - £70,000",London,Cloud Support,Junior,Support,Full-Time,2023-07-15
IT Sales Manager,"Memimpin strategi penjualan produk dan layanan IT seperti menggunakan Sales, IT Sales.","Sales, IT Sales","£70,000 - £110,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,2023-08-20
Data Privacy Officer,"Memastikan perlindungan dan penggunaan data pribadi secara sah seperti menggunakan GDPR, Data Protection.","GDPR, Data Protection","£55,000 - £85,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,2023-09-25
Software Architect,"Menentukan arsitektur sistem dan standar teknis untuk solusi perangkat lunak yang skalabel seperti menggunakan Architecture, Design Patterns.","Architecture, Design Patterns","£75,000 - £120,000",Edinburgh,Software Architects,Senior,Software Design,Full-Time,2023-10-30
IT Quality Analyst,"Menganalisis, menguji, dan mengevaluasi sistem serta proses IT untuk memastikan kualitas, kepatuhan, dan keandalan layanan menggunakan QA, Testing.","QA, Testing","£45,000 - £75,000",Glasgow,QA Analysts,Mid-Level,Quality Assurance,Full-Time,2023-11-05
Mobile App Developer,"Merancang dan mengembangkan aplikasi mobile untuk platform Android atau iOS seperti menggunakan iOS, Android, Mobile Development.","iOS, Android, Mobile Development","£50,000 - £90,000",Leeds,Mobile Devs,Mid-Level,Mobile Development,Full-Time,2023-12-10
IT Procurement Manager,"Mengelola strategi pengadaan IT dan hubungan dengan vendor seperti menggunakan Procurement, Supply Chain.","Procurement, Supply Chain","£70,000 - £110,000",Bristol,Procurement Mgmt,Senior,Procurement,Full-Time,2023-01-15
IT Compliance Officer,"Memastikan operasional IT sesuai dengan regulasi dan kebijakan yang berlaku seperti menggunakan Compliance, Regulations.","Compliance, Regulations","£60,000 - £95,000",Newcastle,Compliance Experts,Mid-Level,Compliance,Full-Time,2023-02-20
Full-stack Developer,"Mengembangkan komponen front-end dan back-end aplikasi, termasuk integrasi database dan API seperti menggunakan JavaScript, Node.js.","JavaScript, Node.js","£55,000 - £90,000",Sheffield,Full-stack Devs,Mid-Level,Web Development,Full-Time,2023-03-25
IT Business Analyst,"Menjembatani kebutuhan bisnis dan solusi IT melalui analisis dan dokumentasi seperti menggunakan Business Analysis, IT Strategy.","Business Analysis, IT Strategy","£50,000 - £85,000",Cardiff,IT Analysts,Mid-Level,Business Analysis,Full-Time,2023-04-30
IT Trainer Assistant,"Mendukung pelaksanaan pelatihan IT dan persiapan materi seperti menggunakan Training, IT Education.","Training, IT Education","£30,000 - £50,000",London,IT Training Assist,Entry-Level,Education,Full-Time,2023-05-05
AI Ethics Consultant,"Memastikan penggunaan teknologi AI yang etis, adil, dan bertanggung jawab seperti menggunakan Ethics, AI Governance.","Ethics, AI Governance","£60,000 - £100,000",Manchester,AI Ethics,Mid-Level,Ethics,Full-Time,2023-06-10
IT Support Specialist,"Memberikan bantuan teknis dan pemecahan masalah perangkat keras, perangkat lunak, dan sistem untuk memastikan operasional IT berjalan lancar seperti menggunakan Windows, Troubleshooting.","Windows, Troubleshooting","£35,000 - £55,000",Birmingham,IT Support Specialists,Junior,Support,Full-Time,2023-07-15
Data Analytics Manager,"Memimpin tim dan strategi analitik data untuk mendukung pengambilan keputusan berbasis data seperti menggunakan Data Analytics, Team Management.","Data Analytics, Team Management","£70,000 - £110,000",Edinburgh,Data Managers,Senior,Analytics,Full-Time,2023-08-20
IT Project Coordinator,Mendukung pelaksanaan proyek melalui koordinasi dan dokumentasi seperti menggunakan Project Coordination.,Project Coordination,"£40,000 - £70,000",Glasgow,Project Coordinators,Mid-Level,Project Management,Full-Time,2023-09-25
Cloud Solutions Analyst,"Menganalisis dan merekomendasikan layanan serta arsitektur cloud seperti menggunakan AWS, Azure, Cloud Analysis.","AWS, Azure, Cloud Analysis","£45,000 - £75,000",Leeds,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,2023-10-30
IT Governance Manager,"Menyusun tata kelola IT dan menyelaraskan strategi IT dengan tujuan organisasi seperti menggunakan IT Governance, Compliance.","IT Governance, Compliance","£65,000 - £100,000",Bristol,IT Governance Mgmt,Senior,Governance,Full-Time,2023-11-05
Cybersecurity Engineer,"Merancang dan mengimplementasikan sistem serta mekanisme pertahanan keamanan seperti menggunakan Cybersecurity, Penetration Testing.","Cybersecurity, Penetration Testing","£55,000 - £90,000",Newcastle,Cybersecurity Engineers,Mid-Level,Security,Full-Time,2023-12-10
IT Procurement Analyst,Menganalisis kebutuhan dan biaya pengadaan IT seperti menggunakan Procurement Analysis.,Procurement Analysis,"£50,000 - £85,000",Cardiff,Procurement Analysts,Mid-Level,Procurement,Full-Time,2023-01-15
UX Designer,"Merancang pengalaman pengguna yang intuitif melalui riset dan pengujian kegunaan seperti menggunakan UX Design, Prototyping.","UX Design, Prototyping","£45,000 - £75,000",London,UX Designers,Mid-Level,Design,Full-Time,2023-02-20
IT Change Manager,"Mengelola perubahan sistem IT untuk meminimalkan gangguan bisnis seperti menggunakan Change Management, IT Strategy.","Change Management, IT Strategy","£60,000 - £100,000",Manchester,Change Managers,Senior,Change Management,Full-Time,2023-03-25
IT Service Desk Analyst,"Mengelola permintaan layanan dan tiket insiden serta memastikan kepatuhan terhadap SLA seperti menggunakan IT Service Desk, Troubleshooting.","IT Service Desk, Troubleshooting","£30,000 - £50,000",Birmingham,Service Desk,Entry-Level,Support,Full-Time,2023-04-30
Cloud Security Analyst,"Memonitor dan menganalisis risiko keamanan pada lingkungan cloud seperti menggunakan Cloud Security, Threat Analysis.","Cloud Security, Threat Analysis","£45,000 - £75,000",Edinburgh,Cloud Security,Mid-Level,Security,Full-Time,2023-05-05
IT Business Continuity Manager,"Menjamin keberlangsungan layanan IT saat terjadi gangguan seperti menggunakan Business Continuity, Disaster Recovery.","Business Continuity, Disaster Recovery","£70,000 - £110,000",Glasgow,Continuity Managers,Senior,Business Continuity,Full-Time,2023-06-10
QA Automation Engineer,"Merancang dan mengimplementasikan framework pengujian otomatis untuk menjamin kualitas perangkat lunak seperti menggunakan Test Automation, Selenium.","Test Automation, Selenium","£55,000 - £90,000",Leeds,QA Automation,Mid-Level,Quality Assurance,Full-Time,2023-07-15
Data Governance Analyst,"Memastikan kualitas data, kepatuhan, dan tata kelola data seperti menggunakan Data Governance, Data Quality.","Data Governance, Data Quality","£50,000 - £85,000",Bristol,Data Governance,Mid-Level,Governance,Full-Time,2023-08-20
IT Trainer Specialist,"Memberikan pelatihan IT yang bersifat spesialis pada teknologi tertentu seperti menggunakan Training, Specialization.","Training, Specialization","£40,000 - £70,000",Newcastle,IT Training Specialists,Mid-Level,Education,Full-Time,2023-09-25
Machine Learning Engineer,"Mengembangkan, mengoptimalkan, dan memelihara pipeline serta model machine learning seperti menggunakan Machine Learning, Python.","Machine Learning, Python","£60,000 - £100,000",Cardiff,ML Engineers,Mid-Level,Machine Learning,Full-Time,2023-10-30
IT Asset Manager,"Mengelola siklus hidup dan pemanfaatan aset IT seperti menggunakan IT Asset Management, Inventory.","IT Asset Management, Inventory","£55,000 - £90,000",London,Asset Managers,Mid-Level,Asset Management,Full-Time,2023-11-05
IT Security Consultant,Memberikan konsultasi strategi dan implementasi keamanan IT seperti menggunakan Security Consulting.,Security Consulting,"£50,000 - £85,000",Manchester,Security Consultants,Mid-Level,Security,Full-Time,2023-12-10
Data Analyst Intern,"Membantu proses analisis data dan pembuatan laporan di bawah bimbingan seperti menggunakan SQL, Excel.","SQL, Excel","£20,000 - £30,000",Birmingham,Data Interns,Internship,Analytics,Full-Time,2023-01-15
IT Sales Representative,"Menjual solusi IT dan menjaga hubungan dengan pelanggan seperti menggunakan Sales, IT Sales.","Sales, IT Sales","£40,000 - £70,000",Edinburgh,Sales Reps,Junior,Sales,Full-Time,2023-02-20
Cloud Migration Specialist,"Merencanakan dan mengeksekusi migrasi sistem ke platform cloud seperti menggunakan Cloud Migration, AWS, Azure.","Cloud Migration, AWS, Azure","£55,000 - £90,000",Glasgow,Cloud Migrators,Mid-Level,Cloud Computing,Full-Time,2023-03-25
IT Procurement Coordinator,Mengoordinasikan proses dan dokumentasi pengadaan IT seperti menggunakan Procurement Coordination.,Procurement Coordination,"£45,000 - £75,000",Leeds,Procurement Coordinators,Mid-Level,Procurement,Full-Time,2023-04-30
IT Analyst Trainee,"Belajar dan membantu analisis sistem serta dukungan IT seperti menggunakan IT Analysis, Training.","IT Analysis, Training","£25,000 - £35,000",Bristol,IT Analyst Trainees,Entry-Level,Training,Full-Time,2023-05-05
UX Research Assistant,"Mendukung aktivitas riset UX termasuk pengumpulan dan analisis data seperti menggunakan UX Research, Support.","UX Research, Support","£30,000 - £45,000",Newcastle,UX Research Assistants,Entry-Level,Research,Full-Time,2023-06-10
IT Compliance Specialist,"Mengimplementasikan dan memantau kerangka kerja kepatuhan IT seperti menggunakan Compliance, Regulations.","Compliance, Regulations","£50,000 - £85,000",Cardiff,Compliance Specialists,Mid-Level,Compliance,Full-Time,2023-07-15
Software Development Intern,"Membantu tugas pengembangan perangkat lunak sambil mempelajari praktik terbaik seperti menggunakan Programming, Internship.","Programming, Internship","£20,000 - £30,000",London,Dev Interns,Internship,Software Development,Full-Time,2023-08-20
Network Administrator Trainee,"Membantu pengelolaan dan pemeliharaan sistem jaringan di bawah pengawasan seperti menggunakan Networking, Training.","Networking, Training","£25,000 - £35,000",Manchester,Network Admin Trainees,Entry-Level,Networking,Full-Time,2023-09-25
Cloud Solutions Intern,"Mendukung perancangan dan implementasi solusi cloud seperti menggunakan Cloud Computing, Internship.","Cloud Computing, Internship","£20,000 - £30,000",Birmingham,Cloud Interns,Internship,Cloud,Full-Time,2023-10-30
Data Engineer,"Membangun dan memelihara pipeline serta infrastruktur data untuk mendukung analitik seperti menggunakan Big Data, Python, SQL.","Big Data, Python, SQL","£55,000 - £85,000",Cardiff,Data Innovators,Mid-Level,Data Engineering,Full-Time,2023-01-05
Software Developer,"Mengembangkan, menguji, dan memelihara aplikasi perangkat lunak sesuai kebutuhan bisnis menggunakan Java, C++, Software Design.","Java, C++, Software Design","£50,000 - £80,000",Leeds,CodeCrafters,Mid-Level,Software Development,Full-Time,2023-02-10
IT Analyst,"Menganalisis sistem IT dan mendukung proses pengambilan keputusan seperti menggunakan IT Analysis, Troubleshooting.","IT Analysis, Troubleshooting","£40,000 - £65,000",Birmingham,IT Insights,Junior,IT Analysis,Full-Time,2023-03-15
Cloud Solutions Architect,"Mengembangkan solusi cloud yang selaras dengan kebutuhan bisnis seperti menggunakan AWS, Azure, Cloud Architecture.","AWS, Azure, Cloud Architecture","£60,000 - £90,000",Manchester,Cloud Architects,Senior,Cloud Computing,Full-Time,2023-04-20
Cybersecurity Analyst,"Memonitor sistem dan jaringan untuk mendeteksi serta mencegah ancaman keamanan seperti menggunakan Cybersecurity, Threat Analysis.","Cybersecurity, Threat Analysis","£50,000 - £80,000",Edinburgh,SecureGuard,Mid-Level,Security,Full-Time,2023-05-25
IT Project Manager,"Merencanakan dan mengelola proyek IT agar selesai tepat waktu dan sesuai target seperti menggunakan PMP, Agile, Project Management.","PMP, Agile, Project Management","£70,000 - £100,000",Glasgow,Project Leaders,Senior,Project Management,Full-Time,2023-06-30
Data Scientist,"Mengekstraksi insight dari data skala besar menggunakan statistik, machine learning, dan teknik AI dengan seperti R, Python, Machine Learning.","R, Python, Machine Learning","£55,000 - £85,000",Newcastle,Data Insights,Mid-Level,Data Science,Full-Time,2023-07-05
DevOps Engineer,"Mengotomatiskan dan mengoptimalkan pipeline CI/CD serta infrastruktur seperti menggunakan Docker, Jenkins, DevOps.","Docker, Jenkins, DevOps","£50,000 - £75,000",Sheffield,DevOps Solutions,Mid-Level,DevOps,Full-Time,2023-08-10
IT Support Analyst,"Menganalisis dan menyelesaikan permasalahan IT yang kompleks, meningkatkan keandalan sistem, serta mendukung pengguna akhir seperti menggunakan Windows, Linux, Troubleshooting.","Windows, Linux, Troubleshooting","£30,000 - £45,000",Cardiff,IT Services,Entry-Level,Support,Full-Time,2023-09-15
UX/UI Designer,"Merancang pengalaman pengguna dan antarmuka pengguna untuk produk digital seperti menggunakan UI/UX Design, Prototyping.","UI/UX Design, Prototyping","£40,000 - £70,000",London,Design Studios,Junior,Design,Full-Time,2023-10-20
Database Analyst,"Menganalisis struktur database dan mengoptimalkan penggunaan data seperti menggunakan SQL, Oracle, Database Management.","SQL, Oracle, Database Management","£40,000 - £65,000",Manchester,Data Solutions,Mid-Level,Database,Full-Time,2023-11-25
UI Developer,"Mengimplementasikan desain UI/UX menjadi antarmuka yang fungsional dan menarik seperti menggunakan HTML, CSS, JavaScript.","HTML, CSS, JavaScript","£35,000 - £55,000",Birmingham,Web Creations,Junior,Web Development,Full-Time,2023-12-10
System Administrator,"Menginstal, mengonfigurasi, dan memelihara server serta sistem operasi untuk memastikan ketersediaan sistem  seperti menggunakan Windows Server, Networking.","Windows Server, Networking","£45,000 - £70,000",Edinburgh,System Services,Mid-Level,IT Services,Full-Time,2023-12-15
AI/ML Engineer,"Merancang dan menerapkan model kecerdasan buatan dan machine learning ke lingkungan produksi seperti menggunakan Python, TensorFlow, AI/ML.","Python, TensorFlow, AI/ML","£55,000 - £85,000",Glasgow,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,2023-12-20
IT Auditor,"Melakukan audit sistem dan proses IT untuk memastikan kontrol dan kepatuhan seperti menggunakan Audit, Risk Management.","Audit, Risk Management","£50,000 - £80,000",Leeds,Audit Experts,Mid-Level,Audit,Full-Time,2023-12-25
Network Security Engineer,"Mengamankan infrastruktur jaringan dari ancaman siber seperti menggunakan Security, Firewall.","Security, Firewall","£55,000 - £90,000",Bristol,SecureNet,Mid-Level,Security,Full-Time,2023-12-30
Software Tester,"Menguji aplikasi perangkat lunak untuk menemukan bug dan memastikan fungsionalitas sistem seperti menggunakan Manual Testing, Bug Tracking.","Manual Testing, Bug Tracking","£30,000 - £50,000",Newcastle,QA Solutions,Entry-Level,Quality Assurance,Full-Time,2023-12-31
Cloud Solutions Architect,"Mengembangkan solusi cloud yang selaras dengan kebutuhan bisnis seperti menggunakan AWS, Azure, Cloud Architecture.","AWS, Azure, Cloud Architecture","£60,000 - £90,000",Cardiff,Cloud Innovators,Senior,Cloud Computing,Full-Time,2023-12-10
IT Consultant,"Memberikan rekomendasi dan solusi strategis IT bagi organisasi seperti menggunakan Consulting, IT Strategy.","Consulting, IT Strategy","£60,000 - £90,000",Birmingham,IT Consultants,Senior,Consulting,Full-Time,2023-12-15
Front-end Developer,"Membangun antarmuka pengguna yang responsif dan interaktif dengan fokus pada pengalaman pengguna  seperti menggunakan JavaScript, React.","JavaScript, React","£40,000 - £75,000",Edinburgh,Web Studios,Mid-Level,Web Development,Full-Time,2023-12-20
Business Analyst,"Menganalisis proses bisnis dan merekomendasikan perbaikan seperti menggunakan Business Analysis, Requirements.","Business Analysis, Requirements","£45,000 - £80,000",Glasgow,Biz Analysts,Mid-Level,Business Analysis,Full-Time,2023-12-25
IT Helpdesk Support,"Menjadi titik kontak pertama untuk permasalahan IT dan menyelesaikan kendala teknis dasar seperti menggunakan Troubleshooting, Customer Service.","Troubleshooting, Customer Service","£25,000 - £40,000",Leeds,IT Helpdesk,Entry-Level,Support,Full-Time,2023-12-30
